Date, Open , High , Low , Close , Adj Close , Volume 
1/4/2016, $22.04 , $22.09 , $21.66 , $21.88 , $21.88 ,"83,44,000"
1/5/2016, $22.09 , $22.14 , $21.42 , $21.79 , $21.79 ,"86,23,900"
1/6/2016, $21.54 , $22.01 , $21.48 , $21.85 , $21.85 ,"85,37,200"
1/7/2016, $21.45 , $21.65 , $20.52 , $20.78 , $20.78 ,"63,46,200"
1/8/2016, $20.92 , $21.11 , $20.20 , $20.28 , $20.28 ,"69,83,000"
1/11/2016, $20.36 , $20.68 , $19.96 , $20.49 , $20.49 ,"55,41,200"
1/12/2016, $20.77 , $20.93 , $20.36 , $20.88 , $20.88 ,"60,40,500"
1/13/2016, $20.98 , $21.07 , $19.72 , $19.99 , $19.99 ,"72,55,500"
1/14/2016, $20.14 , $20.77 , $19.47 , $20.68 , $20.68 ,"1,01,28,700"
1/15/2016, $20.02 , $20.94 , $19.65 , $20.69 , $20.69 ,"1,02,71,200"
1/19/2016, $21.00 , $21.09 , $20.04 , $20.26 , $20.26 ,"72,85,000"
1/20/2016, $20.00 , $21.19 , $19.43 , $20.83 , $20.83 ,"1,03,45,900"
1/21/2016, $20.82 , $21.58 , $20.50 , $20.82 , $20.82 ,"87,87,100"
1/22/2016, $21.18 , $21.55 , $20.92 , $21.51 , $21.51 ,"80,90,600"
1/25/2016, $21.66 , $21.97 , $21.52 , $21.57 , $21.57 ,"87,55,400"
1/26/2016, $21.65 , $21.84 , $21.28 , $21.58 , $21.58 ,"70,32,400"
1/27/2016, $21.71 , $21.95 , $21.06 , $21.25 , $21.25 ,"79,46,700"
1/28/2016, $21.85 , $21.85 , $19.60 , $19.92 , $19.92 ,"1,26,25,500"
1/29/2016, $20.29 , $21.33 , $19.90 , $21.31 , $21.31 ,"1,03,58,600"
2/1/2016, $20.94 , $22.49 , $20.91 , $22.38 , $22.38 ,"88,24,700"
2/2/2016, $22.33 , $22.44 , $21.16 , $21.29 , $21.29 ,"88,87,800"
2/3/2016, $21.66 , $21.69 , $20.07 , $20.84 , $20.84 ,"84,69,500"
2/4/2016, $20.84 , $20.91 , $20.36 , $20.76 , $20.76 ,"71,62,000"
2/5/2016, $20.72 , $20.76 , $19.55 , $19.70 , $19.70 ,"83,85,800"
2/8/2016, $19.26 , $19.49 , $18.51 , $19.34 , $19.34 ,"1,23,04,400"
2/9/2016, $18.87 , $20.33 , $18.83 , $20.08 , $20.08 ,"73,28,800"
2/10/2016, $20.25 , $20.48 , $19.92 , $20.13 , $20.13 ,"78,65,100"
